,,,,,,,,,,,,,,,,,,,,,,Area:- 243.84 Sq.km
ward_num,No of House Holds,Total Population (includin instituional) and Houseless Population,,,Scheduled Castes,,,Schedules Tribes,,,Literates,,,illiterates,,,Total Population in the age group (0-6),,,Ward Office Name,ward_name,वॉर्डचे  नाांव
,,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,,,
Pmc,742602,3124458,1603675,1520783,419396,211200,208196,34025,17828,16197,2496324,1317345,1178979,628134,286330,341804,337062,176624,160438,,,
1,10452,44060,23099,20961,8216,4202,4014,1551,822,729,34931,18862,16069,9129,4237,4892,5686,2993,2693,Sangamwadi,Dhanori,धानोरी
2,5933,25430,13125,12305,3887,1985,1902,250,135,115,19673,10456,9217,5757,2669,3088,3054,1591,1463,Sangamwadi,Vidhyanagar Lohagaon,विद्यानगर  लोहगाि
3,5487,22592,11528,11064,4846,2444,2402,247,127,120,17822,9347,8475,4770,2181,2589,2487,1347,1140,Sangamwadi,Tingre Pumping Station,ट ांगर`नगर  पवपांग  स् `शन
4,5906,24678,12830,11848,3478,1744,1734,514,269,245,20472,10849,9623,4206,1981,2225,2586,1367,1219,Sangamwadi,Kalas Vishrantwadi,कळस  विश्ाांतिाडी
5,4242,18490,9378,9112,5611,2801,2810,247,123,124,14333,7512,6821,4157,1866,2291,1972,1023,949,Sangamwadi,Nanasaheb Parulekar Vidhyalaya,नानासाह`ब  परूळ`कर  विद्यालय
6,5241,26134,15086,11048,5419,2885,2534,563,376,187,20464,12316,8148,5670,2770,2900,2315,1217,1098,Sangamwadi,Yerwada Prizen Press,य`रिडा  विझन  िस
7,8764,33810,17610,16200,5560,2795,2765,276,148,128,26926,14337,12589,6884,3273,3611,3694,1865,1829,Yerwada/Nagarroad,Lohagaon Vimantal,लोहगाि  विमानतळ
8,9598,37947,20290,17657,3732,1907,1825,271,146,125,29477,16249,13228,8470,4041,4429,4993,2645,2348,Yerwada/Nagarroad,Kharadigaon,खराडी  गाि
9,5953,24332,13030,11302,3269,1694,1575,364,201,163,18557,10238,8319,5775,2792,2983,3299,1788,1511,Yerwada/Nagarroad,Kharadi Infotech Park,खराडी  इन्फो `क  पाकक
10,5850,24433,12814,11619,2482,1249,1233,128,69,59,19695,10563,9132,4738,2251,2487,2695,1433,1262,Yerwada/Nagarroad,Sundrabai Marathe Vidhyalaya,स¸दराबाइक  मराठ`  विद्यालय
11,7831,32731,17179,15552,4179,2132,2047,423,216,207,25917,13948,11969,6814,3231,3583,4217,2216,2001,Yerwada/Nagarroad,Vadgaon Sheri,िडगाि  श`री
12,6250,25865,13587,12278,2074,1047,1027,270,145,125,21213,11296,9917,4652,2291,2361,2666,1409,1257,Yerwada/Nagarroad,Ramwadi,रामिाडी
13,6493,25272,13101,12171,1591,804,787,100,56,44,21213,11044,10169,4059,2057,2002,2491,1320,1171,Yerwada/Nagarroad,Agakhan Pallace,आगाखान  पॅल`स
14,4361,18483,9390,9093,4025,2006,2019,233,134,99,15304,7991,7313,3179,1399,1780,1803,947,856,Yerwada/Nagarroad,Don Bosco  Highschool,डॉन  बास्को  हायस्क¸ ल
15,3944,16691,8449,8242,4036,1987,2049,197,99,98,14180,7366,6814,2511,1083,1428,1639,872,767,Yerwada/Nagarroad,NagpurChawl,नागपूर  चाळ
