ward_no,ward_name,population,bus_stop_count,predicted_demand
1,Dhanori,56400.52501729148,45,1237.890304118168
2,Vidhyanagar Lohagaon,32552.54995891335,16,2053.886410408324
3,Tingre Pumping Station,28919.67002248409,24,1198.2204456524928
4,Kalas Vishrantwadi,31589.926381677687,45,724.1467072921835
5,Nanasaheb Parulekar Vidhyalaya,23668.763222190635,18,1330.7820848542428
6,Yerwada Prizen Press,33453.729478027584,28,1194.0086687031085
7,Lohagaon Vimantal,43279.65843927882,50,856.7977047420998
8,Kharadigaon,48575.36819861914,30,1659.9384586377819
9,Kharadi Infotech Park,31147.01712938575,19,1663.752909967734
10,Sundrabai Marathe Vidhyalaya,31276.30566834958,18,1731.6299515090868
11,Vadgaon Sheri,41898.44721609095,16,2614.8537866179977
12,Ramwadi,33109.386735638764,29,1134.004092737107
13,Agakhan Pallace,32350.296600930324,12,2704.984285765061
14,Don Bosco  Highschool,23659.80263038126,11,2173.8485043375
15,NagpurChawl,21365.89112718139,4,5584.794766917912
16,"PhuleNagar ,Yerwada",20128.04937294351,15,1368.9246689826455
17,Netaji Subhashchandra Bose Vidhyalaya,20468.551861699743,5,4285.527171418254
18,Yerwadagaon,19150.06478117749,15,1284.8737284565318
19,Parnkuti,22660.056601363904,7,3284.538215357155
20,YerwadaHotmix Plant,23466.50986420761,0,28573.4021119329
21,Deccon Collage,22868.71038206791,19,1201.581831844827
22,Kamal Nayan Bajaj Udhyan,23132.40779817236,12,1963.772420293365
23,Setki Mahavidhyalaya,20153.65106382744,20,1017.2009130688183
24,Sanjay Gandhi Rugnalya,22882.791312054072,18,1257.998104421764
25,Bopodi,20268.858672805112,8,2585.40307203196
26,Pune Vidhyapeeth,20788.572997748837,20,1039.4005755527005
27,AundhGaon,22741.98201219247,13,1720.7278851198907
28,Baner-Balewadi,40926.86304704592,82,609.1792322600555
29,Sutarwadi,30714.34855344738,53,679.7572584112926
30,Pashan,31456.797589081267,40,779.5371139659619
31,Aundh I.T.I,19463.685494505604,18,1076.4614450679458
32,RajBhavan,22610.133304140247,34,698.6345992440464
33,Chaturshingi Mandir,25778.34255102623,8,3282.532216294125
34,Model Colony,19063.019032172146,26,735.4449512017914
35,Morden Collage,18777.560178816355,17,1114.9943117669395
36,P.M.C Bhavan,16132.905510506684,38,570.3129513039459
37,Dr.Nayadu Hospital,19687.700289739965,2,10700.885373056735
38,Bundgarden,18044.071734991845,4,4631.065113544279
39,Wadiya Collage,18493.381410004764,25,718.11614544177
40,Koregaon Park,18798.041531523497,19,998.3189410998201
41,Mundhvagaon,24517.45927499282,38,693.0314170430396
42,Magarpatta Hadapsar,52396.42056304527,16,3251.7197121080053
43,Hadapsar Indestrial Estate,38060.75375259027,13,2929.258855626015
44,Sent Patric Town,35142.16099182258,7,4957.088585377599
45,Vikas Nagar Ghorpadi,38431.97827040721,22,1736.7657345598839
46,Dr.Babasaheb Ambedkar Udhyan,18863.32584327751,25,743.6938791239631
47,Sasoon Hospital,18166.959851234693,20,873.8126820219125
48,Kamla Nehru Hospital,21044.589906588106,5,4313.77708923804
49,Juna Bazar,23938.861061016065,3,8154.730850811728
50,Kasba Ganpati,20408.387888122517,7,2912.8742382660876
51,Shanivarwada,17695.888738970436,12,1449.7447397286282
52,New English School(Ramanbaug),15710.477610921886,22,704.0830215683801
53,Fergussion Collage,20634.962852445267,22,932.1296315991201
54,Dr.Homi Baba Hospital,21364.611042637192,2,11178.498705523743
55,Gokhlenagar,18707.15552888556,13,1440.6402503797196
56,Vidhi Mahavidhyalaya,19493.12743902212,29,683.8514906513144
57,Shankarrao More Vidhyalaya,23123.447206362987,1,25214.32555308939
58,RamBaug Colony,25914.031512711044,17,1514.6838901456292
59,Kishkindhanagar,37261.98099701174,4,9527.26458613644
60,Ramkrishna Parmhance Nagar,24759.39525384593,12,2082.865656443558
61,Ved Bhavan,48014.69116826114,50,966.6777330479548
62,Mahatma Society -Kothrud,42300.39376296861,20,2106.0004607243823
63,Wanaj Compani,24060.46909271472,10,2402.6428032998347
64,Yashwantrao Chavan Natyagrha,25629.852743899453,13,2013.4194685373836
65,Idiol Colony,16897.11598339191,22,732.2580808381539
