ward_no,ward_name,population,bus_stop_count,predicted_demand
1,Dhanori,53120.7848828592,45,1178.5929184062602
2,Vidhyanagar Lohagaon,30659.590548595308,16,1925.0607132641846
3,Tingre Pumping Station,27237.965775614044,24,1134.1137536721285
4,Kalas Vishrantwadi,29752.944379010423,45,662.707917112704
5,Nanasaheb Parulekar Vidhyalaya,22292.403823968823,18,1233.5280211204174
6,Yerwada Prizen Press,31508.36568607903,28,1130.0662362015728
7,Lohagaon Vimantal,40762.90823625668,50,819.3543613515338
8,Kharadigaon,45750.66781547567,30,1524.8786502504895
9,Kharadi Infotech Park,29335.79068928121,19,1536.2713541661558
10,Sundrabai Marathe Vidhyalaya,29457.56098599407,18,1668.0015779880068
11,Vadgaon Sheri,39462.01566048262,16,2459.276281415871
12,Ramwadi,31184.0467770121,29,1066.9635880202343
13,Agakhan Pallace,30469.098401262312,12,2464.9906501989512
14,Don Bosco  Highschool,22283.964298454077,11,2025.0621057356723
15,NagpurChawl,20123.445766677323,4,5007.539549693281
16,"PhuleNagar ,Yerwada",18957.585599139307,15,1266.039920766469
17,Netaji Subhashchandra Bose Vidhyalaya,19278.28756869992,5,3860.948895296661
18,Yerwadagaon,18036.47167152913,15,1203.5012683538457
19,Parnkuti,21342.35438030807,7,3029.701311963799
20,YerwadaHotmix Plant,22101.91167663583,0,23544.710855118836
21,Deccon Collage,21538.8747601516,19,1136.589311274127
22,Kamal Nayan Bajaj Udhyan,21787.23793958576,12,1826.5239209836907
23,Setki Mahavidhyalaya,18981.69852918146,20,945.0906997198271
24,Sanjay Gandhi Rugnalya,21552.136871674786,18,1193.4836241271726
25,Bopodi,19090.206714371143,8,2390.4457957761174
26,Pune Vidhyapeeth,19579.69919422681,20,979.961268451601
27,AundhGaon,21419.515756442957,13,1679.5736318094612
28,Baner-Balewadi,38546.92996538298,82,547.8095769322368
29,Sutarwadi,28928.28217156885,53,570.0058866193756
30,Pashan,29627.55714279124,40,742.1418598462019
31,Aundh I.T.I,18331.855064545485,18,1013.7024348426442
32,RajBhavan,21295.334166725872,34,625.3732745860289
33,Chaturshingi Mandir,24279.30925944209,8,3028.134976216479
34,Model Colony,17954.487709385816,26,687.9997177659367
35,Morden Collage,17685.62853941583,17,1041.430662555012
36,P.M.C Bhavan,15194.762866061608,38,474.7612271779655
37,Dr.Nayadu Hospital,18542.843202414308,2,9388.828127386007
38,Bundgarden,16994.7930937082,4,4328.803168516472
39,Wadiya Collage,17417.97501594795,25,692.4782555422839
40,Koregaon Park,17704.91888344955,19,938.3329107795017
41,Mundhvagaon,23091.74745486614,38,612.4735392323248
