ward_no,ward_name,population,bus_stop_count,predicted_demand
1,Dhanori,55075.0,45,1214.0820319392174
2,Vidhyanagar Lohagaon,31787.5,16,2011.1129976294899
3,Tingre Pumping Station,28240.0,24,1176.8993287636881
4,Kalas Vishrantwadi,30847.5,45,704.2542114945018
5,Nanasaheb Parulekar Vidhyalaya,23112.5,18,1282.26127541742
6,Yerwada Prizen Press,32667.5,28,1167.5487386156403
7,Lohagaon Vimantal,42262.5,50,822.9303609843566
8,Kharadigaon,47433.75,30,1578.6577277194556
9,Kharadi Infotech Park,30415.0,19,1652.8916869013303
10,Sundrabai Marathe Vidhyalaya,30541.25,18,1720.0630739206604
11,Vadgaon Sheri,40913.75,16,2601.7348702194545
12,Ramwadi,32331.25,29,1117.578565509579
13,Agakhan Pallace,31590.0,12,2639.33867952909
14,Don Bosco  Highschool,23103.75,11,2125.945057913591
15,NagpurChawl,20863.75,4,5250.465455388903
16,"PhuleNagar ,Yerwada",19655.0,15,1333.3189123951286
17,Netaji Subhashchandra Bose Vidhyalaya,19987.5,5,4285.5605738214335
18,Yerwadagaon,18700.0,15,1254.2425186067662
19,Parnkuti,22127.5,7,3257.0738415072033
20,YerwadaHotmix Plant,22915.0,0,28264.211565000005
21,Deccon Collage,22331.25,19,1189.1721420304955
22,Kamal Nayan Bajaj Udhyan,22588.75,12,1850.531143586599
23,Setki Mahavidhyalaya,19680.0,20,1003.4906819459193
24,Sanjay Gandhi Rugnalya,22345.0,18,1231.1230228763409
25,Bopodi,19792.5,8,2485.605754426643
26,Pune Vidhyapeeth,20300.0,20,1020.7828752192252
27,AundhGaon,22207.5,13,1708.7904833856117
28,Baner-Balewadi,39965.0,82,618.3876429709492
29,Sutarwadi,29992.5,53,670.1325280732384
30,Pashan,30717.5,40,767.2966050355783
31,Aundh I.T.I,19006.25,18,1062.0351514314882
32,RajBhavan,22078.75,34,697.5375029448852
33,Chaturshingi Mandir,25172.5,8,3260.5882075429176
34,Model Colony,18615.0,26,700.1432466021635
35,Morden Collage,18336.25,17,1067.7957873955525
36,P.M.C Bhavan,15753.75,38,575.8010908947904
37,Dr.Nayadu Hospital,19225.0,2,10149.028636944462
38,Bundgarden,17620.0,4,4391.261054654769
39,Wadiya Collage,18058.75,25,707.6801717887668
40,Koregaon Park,18356.25,19,984.7711556996466
41,Mundhvagaon,23941.25,38,694.624158870566
42,Magarpatta Hadapsar,51165.0,16,3222.1529301222954
43,Hadapsar Indestrial Estate,37166.25,13,2860.0190539026917
44,Sent Patric Town,34316.25,7,4847.819700136863
45,Vikas Nagar Ghorpadi,37528.75,22,1728.1565863330004
46,Dr.Babasaheb Ambedkar Udhyan,18420.0,25,710.0310273761019
47,Sasoon Hospital,17740.0,20,854.8350686045302
48,Kamla Nehru Hospital,20550.0,5,4308.860550630957
49,Juna Bazar,23376.25,3,8035.8979538889
50,Kasba Ganpati,19928.75,7,2850.5768136079023
51,Shanivarwada,17280.0,12,1451.556186554552
52,New English School(Ramanbaug),15341.25,22,680.0448348606018
53,Fergussion Collage,20150.0,22,911.992447339296
54,Dr.Homi Baba Hospital,20862.5,2,11109.567051805565
55,Gokhlenagar,18267.5,13,1412.6981545489832
56,Vidhi Mahavidhyalaya,19035.0,29,681.2648207578001
57,Shankarrao More Vidhyalaya,22580.0,1,25007.969861666672
58,RamBaug Colony,25305.0,17,1494.5477677368206
59,Kishkindhanagar,36386.25,4,9567.35162402383
60,Ramkrishna Parmhance Nagar,24177.5,12,2015.1800503364032
61,Ved Bhavan,46886.25,50,930.5539759163918
62,Mahatma Society -Kothrud,41306.25,20,2085.43516541768
63,Wanaj Compani,23495.0,10,2366.2153542650503
64,Yashwantrao Chavan Natyagrha,25027.5,13,1954.9296261546162
65,Idiol Colony,16500.0,22,716.2556956884786
66,Dinanath Mangeshkar Rugnalaya,21358.75,11,1953.3263817711465
67,Deccon Jimkhana,16136.25,11,1455.225758606841
68,RajendraNagar,15823.75,18,829.0547388073606
