ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
1,Dhanori,45,11.780877979463622,2021,56400.525017291475,cagr
2,Vidhyanagar Lohagaon,16,3.59473216656065,2021,32552.54995891335,cagr
3,Tingre Pumping Station,24,1.2391248802769839,2021,28919.67002248409,cagr
4,Kalas Vishrantwadi,45,5.614040603473604,2021,31589.926381677687,cagr
5,Nanasaheb Parulekar Vidhyalaya,18,0.8663572188059991,2021,23668.763222190635,cagr
6,Yerwada Prizen Press,28,5.276719961460563,2021,33453.729478027584,cagr
7,Lohagaon Vimantal,50,13.83277263943663,2021,43279.65843927882,cagr
8,Kharadigaon,30,4.761967203615412,2021,48575.368198619144,cagr
9,Kharadi Infotech Park,19,2.9569376526186595,2021,31147.01712938575,cagr
10,Sundrabai Marathe Vidhyalaya,18,0.9933107771949296,2021,31276.30566834958,cagr
11,Vadgaon Sheri,16,1.5126387118357376,2021,41898.44721609095,cagr
12,Ramwadi,29,1.8183727106671983,2021,33109.386735638764,cagr
13,Agakhan Pallace,12,4.58290424869691,2021,32350.296600930324,cagr
14,Don Bosco  Highschool,11,1.202557615248364,2021,23659.80263038126,cagr
15,NagpurChawl,4,0.4213511114774019,2021,21365.89112718139,cagr
16,"PhuleNagar ,Yerwada",15,2.3852632266516585,2021,20128.04937294351,cagr
17,Netaji Subhashchandra Bose Vidhyalaya,5,0.21162318951022907,2021,20468.551861699743,cagr
18,Yerwadagaon,15,0.3515840698570998,2021,19150.064781177494,cagr
19,Parnkuti,7,0.3911478359424099,2021,22660.056601363904,cagr
20,YerwadaHotmix Plant,0,0.20753709848459767,2021,23466.50986420761,cagr
21,Deccon Collage,19,3.0116374104306796,2021,22868.71038206791,cagr
22,Kamal Nayan Bajaj Udhyan,12,1.556968579476571,2021,23132.40779817236,cagr
23,Setki Mahavidhyalaya,20,2.661814064054194,2021,20153.651063827438,cagr
24,Sanjay Gandhi Rugnalya,18,1.5275886601600461,2021,22882.791312054072,cagr
25,Bopodi,8,0.5453283685742135,2021,20268.858672805112,cagr
26,Pune Vidhyapeeth,20,4.620466510043766,2021,20788.572997748834,cagr
27,AundhGaon,13,1.0694773475540413,2021,22741.98201219247,cagr
28,Baner-Balewadi,82,13.303951293487495,2021,40926.86304704592,cagr
29,Sutarwadi,53,12.717127347406096,2021,30714.34855344738,cagr
30,Pashan,40,4.080779717535515,2021,31456.797589081267,cagr
31,Aundh I.T.I,18,2.539171918525782,2021,19463.685494505604,cagr
32,RajBhavan,34,5.168393419326625,2021,22610.133304140247,cagr
33,Chaturshingi Mandir,8,1.1419185308020572,2021,25778.34255102623,cagr
34,Model Colony,26,1.4646198047466115,2021,19063.019032172142,cagr
35,Morden Collage,17,1.395941986892558,2021,18777.560178816355,cagr
36,P.M.C Bhavan,38,1.1414179414388097,2021,16132.905510506684,cagr
