ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
1,Dhanori,45,11.780877979463622,2021,50105.42599694422,logistic
2,Vidhyanagar Lohagaon,16,3.59473216656065,2021,28919.223402230855,logistic
3,Tingre Pumping Station,24,1.2391248802769839,2021,25691.824424034585,logistic
4,Kalas Vishrantwadi,45,5.614040603473604,2021,28064.042277634806,logistic
5,Nanasaheb Parulekar Vidhyalaya,18,0.8663572188059991,2021,21026.993342793885,logistic
6,Yerwada Prizen Press,28,5.276719961460563,2021,29719.81849759737,logistic
7,Lohagaon Vimantal,50,13.83277263943663,2021,38449.03433855388,logistic
8,Kharadigaon,30,4.761967203615412,2021,43153.66773277445,logistic
9,Kharadi Infotech Park,19,2.9569376526186595,2021,27670.567983605237,logistic
10,Sundrabai Marathe Vidhyalaya,18,0.9933107771949296,2021,27785.426086775722,logistic
11,Vadgaon Sheri,16,1.5126387118357376,2021,37221.98588983162,logistic
12,Ramwadi,29,1.8183727106671983,2021,29413.90929212352,logistic
13,Agakhan Pallace,12,4.58290424869691,2021,28739.5443893503,logistic
14,Don Bosco  Highschool,11,1.202557615248364,2021,21019.032880197912,logistic
15,NagpurChawl,4,0.4213511114774019,2021,18981.1544556286,logistic
16,"PhuleNagar ,Yerwada",15,2.3852632266516585,2021,17881.473408441918,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,5,0.21162318951022907,2021,18183.970987088924,logistic
18,Yerwadagaon,15,0.3515840698570998,2021,17012.645776538484,logistic
19,Parnkuti,7,0.3911478359424099,2021,20130.872696275685,logistic
20,YerwadaHotmix Plant,0,0.20753709848459767,2021,20847.314329913333,logistic
21,Deccon Collage,19,3.0116374104306796,2021,20316.23775386765,logistic
22,Kamal Nayan Bajaj Udhyan,12,1.556968579476571,2021,20550.502795977736,logistic
23,Setki Mahavidhyalaya,20,2.661814064054194,2021,17904.217587287556,logistic
24,Sanjay Gandhi Rugnalya,18,1.5275886601600461,2021,20328.747052232746,logistic
25,Bopodi,8,0.5453283685742135,2021,18006.566392092936,logistic
26,Pune Vidhyapeeth,20,4.620466510043766,2021,18468.273222659423,logistic
27,AundhGaon,13,1.0694773475540413,2021,20203.65406858173,logistic
28,Baner-Balewadi,82,13.303951293487495,2021,36358.8443026396,logistic
29,Sutarwadi,53,12.717127347406096,2021,27286.191361113928,logistic
30,Pashan,40,4.080779717535515,2021,27945.772547637476,logistic
31,Aundh I.T.I,18,2.539171918525782,2021,17291.261967397568,logistic
32,RajBhavan,34,5.168393419326625,2021,20086.521547526685,logistic
33,Chaturshingi Mandir,8,1.1419185308020572,2021,22901.113679674596,logistic
34,Model Colony,26,1.4646198047466115,2021,16935.315568463306,logistic
35,Morden Collage,17,1.395941986892558,2021,16681.717974334424,logistic
36,P.M.C Bhavan,38,1.1414179414388097,2021,14332.244299579846,logistic
37,Dr.Nayadu Hospital,2,1.3480075292749187,2021,17490.273532296913,logistic
38,Bundgarden,4,0.7804556356850427,2021,16030.097250406849,logistic
39,Wadiya Collage,25,1.2781866001536928,2021,16429.257589147823,logistic
40,Koregaon Park,19,2.8716448156206607,2021,16699.913317410937,logistic
41,Mundhvagaon,38,5.818015015263486,2021,21780.96287152684,logistic
42,Magarpatta Hadapsar,16,3.4947159571684066,2021,46548.236425486175,logistic
43,Hadapsar Indestrial Estate,13,2.406516142321506,2021,33812.63348087023,logistic
44,Sent Patric Town,7,1.1636347181869984,2021,31219.79709246731,logistic
