ward_no,ward_name,population,bus_stop_count,area_sqkm,year,model
1,Dhanori,44060.0,45,11.780877979463622,2011,logistic
1,Dhanori,44661.470344592,45,11.780877979463622,2012,logistic
1,Dhanori,45264.12215657051,45,11.780877979463622,2013,logistic
1,Dhanori,45867.770085222735,45,11.780877979463622,2014,logistic
1,Dhanori,46472.22754325637,45,11.780877979463622,2015,logistic
1,Dhanori,47077.306936168454,45,11.780877979463622,2016,logistic
1,Dhanori,47682.8198942724,45,11.780877979463622,2017,logistic
1,Dhanori,48288.57750677532,45,11.780877979463622,2018,logistic
1,Dhanori,48894.3905572896,45,11.780877979463622,2019,logistic
1,Dhanori,49500.06976015489,45,11.780877979463622,2020,logistic
1,Dhanori,50105.42599694422,45,11.780877979463622,2021,logistic
1,Dhanori,50710.27055252615,45,11.780877979463622,2022,logistic
1,Dhanori,51314.41535005741,45,11.780877979463622,2023,logistic
1,Dhanori,51917.673184285275,45,11.780877979463622,2024,logistic
1,Dhanori,52519.85795254633,45,11.780877979463622,2025,logistic
1,Dhanori,53120.784882859196,45,11.780877979463622,2026,logistic
1,Dhanori,53720.27075852124,45,11.780877979463622,2027,logistic
1,Dhanori,54318.13413863581,45,11.780877979463622,2028,logistic
1,Dhanori,54914.19557401393,45,11.780877979463622,2029,logistic
1,Dhanori,55508.27781791551,45,11.780877979463622,2030,logistic
2,Vidhyanagar Lohagaon,25430.0,16,3.59473216656065,2011,logistic
2,Vidhyanagar Lohagaon,25777.149134429746,16,3.59473216656065,2012,logistic
2,Vidhyanagar Lohagaon,26124.980173435953,16,3.59473216656065,2013,logistic
2,Vidhyanagar Lohagaon,26473.386138611306,16,3.59473216656065,2014,logistic
2,Vidhyanagar Lohagaon,26822.25933783498,16,3.59473216656065,2015,logistic
2,Vidhyanagar Lohagaon,27171.491497656916,16,3.59473216656065,2016,logistic
2,Vidhyanagar Lohagaon,27520.973897216227,16,3.59473216656065,2017,logistic
2,Vidhyanagar Lohagaon,27870.597503343084,16,3.59473216656065,2018,logistic
2,Vidhyanagar Lohagaon,28220.253106488297,16,3.59473216656065,2019,logistic
2,Vidhyanagar Lohagaon,28569.831457120716,16,3.59473216656065,2020,logistic
2,Vidhyanagar Lohagaon,28919.223402230855,16,3.59473216656065,2021,logistic
2,Vidhyanagar Lohagaon,29268.3200215783,16,3.59473216656065,2022,logistic
2,Vidhyanagar Lohagaon,29617.01276332183,16,3.59473216656065,2023,logistic
2,Vidhyanagar Lohagaon,29965.193578673952,16,3.59473216656065,2024,logistic
2,Vidhyanagar Lohagaon,30312.755055225898,16,3.59473216656065,2025,logistic
2,Vidhyanagar Lohagaon,30659.590548595308,16,3.59473216656065,2026,logistic
2,Vidhyanagar Lohagaon,31005.594312056175,16,3.59473216656065,2027,logistic
2,Vidhyanagar Lohagaon,31350.661623819986,16,3.59473216656065,2028,logistic
2,Vidhyanagar Lohagaon,31694.688911647165,16,3.59473216656065,2029,logistic
2,Vidhyanagar Lohagaon,32037.573874480055,16,3.59473216656065,2030,logistic
3,Tingre Pumping Station,22592.0,24,1.2391248802769839,2011,logistic
3,Tingre Pumping Station,22900.407127213402,24,1.2391248802769839,2012,logistic
3,Tingre Pumping Station,23209.420058130752,24,1.2391248802769839,2013,logistic
3,Tingre Pumping Station,23518.943753185475,24,1.2391248802769839,2014,logistic
3,Tingre Pumping Station,23828.882538748247,24,1.2391248802769839,2015,logistic
3,Tingre Pumping Station,24139.140224737122,24,1.2391248802769839,2016,logistic
3,Tingre Pumping Station,24449.620223590602,24,1.2391248802769839,2017,logistic
3,Tingre Pumping Station,24760.225670292053,24,1.2391248802769839,2018,logistic
3,Tingre Pumping Station,25070.859543129518,24,1.2391248802769839,2019,logistic
3,Tingre Pumping Station,25381.424784871066,24,1.2391248802769839,2020,logistic
3,Tingre Pumping Station,25691.824424034585,24,1.2391248802769839,2021,logistic
3,Tingre Pumping Station,26001.96169592988,24,1.2391248802769839,2022,logistic
3,Tingre Pumping Station,26311.740163152448,24,1.2391248802769839,2023,logistic
3,Tingre Pumping Station,26621.063835210458,24,1.2391248802769839,2024,logistic
3,Tingre Pumping Station,26929.837286970644,24,1.2391248802769839,2025,logistic
3,Tingre Pumping Station,27237.965775614044,24,1.2391248802769839,2026,logistic
3,Tingre Pumping Station,27545.355355799176,24,1.2391248802769839,2027,logistic
3,Tingre Pumping Station,27851.91299273854,24,1.2391248802769839,2028,logistic
3,Tingre Pumping Station,28157.546672903372,24,1.2391248802769839,2029,logistic
3,Tingre Pumping Station,28462.16551208232,24,1.2391248802769839,2030,logistic
4,Kalas Vishrantwadi,24678.000000000004,45,5.614040603473604,2011,logistic
4,Kalas Vishrantwadi,25014.88345809899,45,5.614040603473604,2012,logistic
4,Kalas Vishrantwadi,25352.428655920274,45,5.614040603473604,2013,logistic
