ward_no,ward_name,population,bus_stop_count,area_sqkm,year,model
1,Dhanori,44060.0,45,11.780877979463622,2011,cagr
1,Dhanori,44060.0,45,11.780877979463622,2011,logistic
1,Dhanori,45161.49999999999,45,11.780877979463622,2012,cagr
1,Dhanori,44661.470344592,45,11.780877979463622,2012,logistic
1,Dhanori,46290.5375,45,11.780877979463622,2013,cagr
1,Dhanori,45264.12215657051,45,11.780877979463622,2013,logistic
1,Dhanori,47447.80093749998,45,11.780877979463622,2014,cagr
1,Dhanori,45867.770085222735,45,11.780877979463622,2014,logistic
1,Dhanori,48633.99596093748,45,11.780877979463622,2015,cagr
1,Dhanori,46472.22754325637,45,11.780877979463622,2015,logistic
1,Dhanori,49849.845859960915,45,11.780877979463622,2016,cagr
1,Dhanori,47077.306936168454,45,11.780877979463622,2016,logistic
1,Dhanori,51096.092006459934,45,11.780877979463622,2017,cagr
1,Dhanori,47682.8198942724,45,11.780877979463622,2017,logistic
1,Dhanori,52373.49430662143,45,11.780877979463622,2018,cagr
1,Dhanori,48288.57750677532,45,11.780877979463622,2018,logistic
1,Dhanori,53682.831664286954,45,11.780877979463622,2019,cagr
1,Dhanori,48894.3905572896,45,11.780877979463622,2019,logistic
1,Dhanori,55024.90245589413,45,11.780877979463622,2020,cagr
1,Dhanori,49500.06976015489,45,11.780877979463622,2020,logistic
1,Dhanori,56400.525017291475,45,11.780877979463622,2021,cagr
1,Dhanori,50105.42599694422,45,11.780877979463622,2021,logistic
1,Dhanori,57810.53814272376,45,11.780877979463622,2022,cagr
1,Dhanori,50710.27055252615,45,11.780877979463622,2022,logistic
1,Dhanori,59255.80159629185,45,11.780877979463622,2023,cagr
1,Dhanori,51314.41535005741,45,11.780877979463622,2023,logistic
1,Dhanori,60737.196636199136,45,11.780877979463622,2024,cagr
1,Dhanori,51917.673184285275,45,11.780877979463622,2024,logistic
1,Dhanori,62255.62655210411,45,11.780877979463622,2025,cagr
1,Dhanori,52519.85795254633,45,11.780877979463622,2025,logistic
1,Dhanori,63812.01721590671,45,11.780877979463622,2026,cagr
1,Dhanori,53120.784882859196,45,11.780877979463622,2026,logistic
1,Dhanori,65407.31764630437,45,11.780877979463622,2027,cagr
1,Dhanori,53720.27075852124,45,11.780877979463622,2027,logistic
1,Dhanori,67042.50058746197,45,11.780877979463622,2028,cagr
1,Dhanori,54318.13413863581,45,11.780877979463622,2028,logistic
1,Dhanori,68718.56310214852,45,11.780877979463622,2029,cagr
1,Dhanori,54914.19557401393,45,11.780877979463622,2029,logistic
1,Dhanori,70436.52717970223,45,11.780877979463622,2030,cagr
1,Dhanori,55508.27781791551,45,11.780877979463622,2030,logistic
2,Vidhyanagar Lohagaon,25430.0,16,3.59473216656065,2011,cagr
2,Vidhyanagar Lohagaon,25430.0,16,3.59473216656065,2011,logistic
2,Vidhyanagar Lohagaon,26065.749999999996,16,3.59473216656065,2012,cagr
2,Vidhyanagar Lohagaon,25777.149134429746,16,3.59473216656065,2012,logistic
2,Vidhyanagar Lohagaon,26717.39375,16,3.59473216656065,2013,cagr
2,Vidhyanagar Lohagaon,26124.980173435953,16,3.59473216656065,2013,logistic
2,Vidhyanagar Lohagaon,27385.32859374999,16,3.59473216656065,2014,cagr
2,Vidhyanagar Lohagaon,26473.386138611306,16,3.59473216656065,2014,logistic
2,Vidhyanagar Lohagaon,28069.96180859374,16,3.59473216656065,2015,cagr
2,Vidhyanagar Lohagaon,26822.25933783498,16,3.59473216656065,2015,logistic
2,Vidhyanagar Lohagaon,28771.710853808578,16,3.59473216656065,2016,cagr
2,Vidhyanagar Lohagaon,27171.491497656916,16,3.59473216656065,2016,logistic
2,Vidhyanagar Lohagaon,29491.003625153793,16,3.59473216656065,2017,cagr
2,Vidhyanagar Lohagaon,27520.973897216227,16,3.59473216656065,2017,logistic
2,Vidhyanagar Lohagaon,30228.27871578264,16,3.59473216656065,2018,cagr
2,Vidhyanagar Lohagaon,27870.597503343084,16,3.59473216656065,2018,logistic
2,Vidhyanagar Lohagaon,30983.985683677194,16,3.59473216656065,2019,cagr
2,Vidhyanagar Lohagaon,28220.253106488297,16,3.59473216656065,2019,logistic
2,Vidhyanagar Lohagaon,31758.585325769127,16,3.59473216656065,2020,cagr
2,Vidhyanagar Lohagaon,28569.831457120716,16,3.59473216656065,2020,logistic
2,Vidhyanagar Lohagaon,32552.54995891335,16,3.59473216656065,2021,cagr
2,Vidhyanagar Lohagaon,28919.223402230855,16,3.59473216656065,2021,logistic
2,Vidhyanagar Lohagaon,33366.36370788618,16,3.59473216656065,2022,cagr
2,Vidhyanagar Lohagaon,29268.3200215783,16,3.59473216656065,2022,logistic
2,Vidhyanagar Lohagaon,34200.522800583334,16,3.59473216656065,2023,cagr
2,Vidhyanagar Lohagaon,29617.01276332183,16,3.59473216656065,2023,logistic
2,Vidhyanagar Lohagaon,35055.53587059791,16,3.59473216656065,2024,cagr
2,Vidhyanagar Lohagaon,29965.193578673952,16,3.59473216656065,2024,logistic
2,Vidhyanagar Lohagaon,35931.92426736286,16,3.59473216656065,2025,cagr
2,Vidhyanagar Lohagaon,30312.755055225898,16,3.59473216656065,2025,logistic
2,Vidhyanagar Lohagaon,36830.22237404693,16,3.59473216656065,2026,cagr
2,Vidhyanagar Lohagaon,30659.590548595308,16,3.59473216656065,2026,logistic
2,Vidhyanagar Lohagaon,37750.9779333981,16,3.59473216656065,2027,cagr
2,Vidhyanagar Lohagaon,31005.594312056175,16,3.59473216656065,2027,logistic
2,Vidhyanagar Lohagaon,38694.752381733044,16,3.59473216656065,2028,cagr
2,Vidhyanagar Lohagaon,31350.661623819986,16,3.59473216656065,2028,logistic
2,Vidhyanagar Lohagaon,39662.12119127637,16,3.59473216656065,2029,cagr
2,Vidhyanagar Lohagaon,31694.688911647165,16,3.59473216656065,2029,logistic
2,Vidhyanagar Lohagaon,40653.674221058274,16,3.59473216656065,2030,cagr
2,Vidhyanagar Lohagaon,32037.573874480055,16,3.59473216656065,2030,logistic
3,Tingre Pumping Station,22592.0,24,1.2391248802769839,2011,cagr
3,Tingre Pumping Station,22592.0,24,1.2391248802769839,2011,logistic
3,Tingre Pumping Station,23156.8,24,1.2391248802769839,2012,cagr
3,Tingre Pumping Station,22900.407127213402,24,1.2391248802769839,2012,logistic
3,Tingre Pumping Station,23735.719999999998,24,1.2391248802769839,2013,cagr
3,Tingre Pumping Station,23209.420058130752,24,1.2391248802769839,2013,logistic
3,Tingre Pumping Station,24329.112999999994,24,1.2391248802769839,2014,cagr
3,Tingre Pumping Station,23518.943753185475,24,1.2391248802769839,2014,logistic
3,Tingre Pumping Station,24937.34082499999,24,1.2391248802769839,2015,cagr
3,Tingre Pumping Station,23828.882538748247,24,1.2391248802769839,2015,logistic
3,Tingre Pumping Station,25560.77434562499,24,1.2391248802769839,2016,cagr
3,Tingre Pumping Station,24139.140224737122,24,1.2391248802769839,2016,logistic
3,Tingre Pumping Station,26199.79370426561,24,1.2391248802769839,2017,cagr
3,Tingre Pumping Station,24449.620223590602,24,1.2391248802769839,2017,logistic
3,Tingre Pumping Station,26854.788546872252,24,1.2391248802769839,2018,cagr
3,Tingre Pumping Station,24760.225670292053,24,1.2391248802769839,2018,logistic
3,Tingre Pumping Station,27526.15826054405,24,1.2391248802769839,2019,cagr
3,Tingre Pumping Station,25070.859543129518,24,1.2391248802769839,2019,logistic
3,Tingre Pumping Station,28214.312217057653,24,1.2391248802769839,2020,cagr
3,Tingre Pumping Station,25381.424784871066,24,1.2391248802769839,2020,logistic
3,Tingre Pumping Station,28919.67002248409,24,1.2391248802769839,2021,cagr
3,Tingre Pumping Station,25691.824424034585,24,1.2391248802769839,2021,logistic
3,Tingre Pumping Station,29642.66177304619,24,1.2391248802769839,2022,cagr
3,Tingre Pumping Station,26001.96169592988,24,1.2391248802769839,2022,logistic
3,Tingre Pumping Station,30383.728317372344,24,1.2391248802769839,2023,cagr
3,Tingre Pumping Station,26311.740163152448,24,1.2391248802769839,2023,logistic
3,Tingre Pumping Station,31143.321525306645,24,1.2391248802769839,2024,cagr
3,Tingre Pumping Station,26621.063835210458,24,1.2391248802769839,2024,logistic
3,Tingre Pumping Station,31921.904563439315,24,1.2391248802769839,2025,cagr
3,Tingre Pumping Station,26929.837286970644,24,1.2391248802769839,2025,logistic
3,Tingre Pumping Station,32719.95217752529,24,1.2391248802769839,2026,cagr
3,Tingre Pumping Station,27237.965775614044,24,1.2391248802769839,2026,logistic
3,Tingre Pumping Station,33537.95098196342,24,1.2391248802769839,2027,cagr
3,Tingre Pumping Station,27545.355355799176,24,1.2391248802769839,2027,logistic
3,Tingre Pumping Station,34376.3997565125,24,1.2391248802769839,2028,cagr
3,Tingre Pumping Station,27851.91299273854,24,1.2391248802769839,2028,logistic
3,Tingre Pumping Station,35235.80975042532,24,1.2391248802769839,2029,cagr
3,Tingre Pumping Station,28157.546672903372,24,1.2391248802769839,2029,logistic
3,Tingre Pumping Station,36116.704994185944,24,1.2391248802769839,2030,cagr
3,Tingre Pumping Station,28462.16551208232,24,1.2391248802769839,2030,logistic
4,Kalas Vishrantwadi,24678.0,45,5.614040603473604,2011,cagr
4,Kalas Vishrantwadi,24678.000000000004,45,5.614040603473604,2011,logistic
4,Kalas Vishrantwadi,25294.949999999997,45,5.614040603473604,2012,cagr
4,Kalas Vishrantwadi,25014.88345809899,45,5.614040603473604,2012,logistic
4,Kalas Vishrantwadi,25927.32375,45,5.614040603473604,2013,cagr
4,Kalas Vishrantwadi,25352.428655920274,45,5.614040603473604,2013,logistic
4,Kalas Vishrantwadi,26575.50684374999,45,5.614040603473604,2014,cagr
4,Kalas Vishrantwadi,25690.53177855485,45,5.614040603473604,2014,logistic
4,Kalas Vishrantwadi,27239.894514843738,45,5.614040603473604,2015,cagr
4,Kalas Vishrantwadi,26029.088318485716,45,5.614040603473604,2015,logistic
4,Kalas Vishrantwadi,27920.89187771483,45,5.614040603473604,2016,cagr
4,Kalas Vishrantwadi,26367.993204057315,45,5.614040603473604,2016,logistic
4,Kalas Vishrantwadi,28618.914174657697,45,5.614040603473604,2017,cagr
4,Kalas Vishrantwadi,26707.140929433826,45,5.614040603473604,2017,logistic
4,Kalas Vishrantwadi,29334.387029024143,45,5.614040603473604,2018,cagr
4,Kalas Vishrantwadi,27046.425685705886,45,5.614040603473604,2018,logistic
4,Kalas Vishrantwadi,30067.746704749738,45,5.614040603473604,2019,cagr
4,Kalas Vishrantwadi,27385.741492800564,45,5.614040603473604,2019,logistic
4,Kalas Vishrantwadi,30819.44037236848,45,5.614040603473604,2020,cagr
