ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
1,Dhanori,45,11.780877979463622,2021,55075.0,rf
2,Vidhyanagar Lohagaon,16,3.59473216656065,2021,31787.5,rf
3,Tingre Pumping Station,24,1.239124880276984,2021,28240.0,rf
4,Kalas Vishrantwadi,45,5.614040603473604,2021,30847.5,rf
5,Nanasaheb Parulekar Vidhyalaya,18,0.8663572188059991,2021,23112.5,rf
6,Yerwada Prizen Press,28,5.276719961460563,2021,32667.5,rf
7,Lohagaon Vimantal,50,13.83277263943663,2021,42262.5,rf
8,Kharadigaon,30,4.761967203615412,2021,47433.75,rf
9,Kharadi Infotech Park,19,2.9569376526186595,2021,30415.0,rf
10,Sundrabai Marathe Vidhyalaya,18,0.9933107771949296,2021,30541.25,rf
11,Vadgaon Sheri,16,1.5126387118357376,2021,40913.75,rf
12,Ramwadi,29,1.8183727106671983,2021,32331.25,rf
13,Agakhan Pallace,12,4.58290424869691,2021,31590.0,rf
14,Don Bosco  Highschool,11,1.202557615248364,2021,23103.75,rf
15,NagpurChawl,4,0.4213511114774019,2021,20863.75,rf
16,"PhuleNagar ,Yerwada",15,2.3852632266516585,2021,19655.0,rf
17,Netaji Subhashchandra Bose Vidhyalaya,5,0.211623189510229,2021,19987.5,rf
18,Yerwadagaon,15,0.3515840698570998,2021,18700.0,rf
19,Parnkuti,7,0.3911478359424099,2021,22127.5,rf
20,YerwadaHotmix Plant,0,0.2075370984845976,2021,22915.0,rf
21,Deccon Collage,19,3.01163741043068,2021,22331.25,rf
22,Kamal Nayan Bajaj Udhyan,12,1.556968579476571,2021,22588.75,rf
23,Setki Mahavidhyalaya,20,2.661814064054194,2021,19680.0,rf
24,Sanjay Gandhi Rugnalya,18,1.527588660160046,2021,22345.0,rf
25,Bopodi,8,0.5453283685742135,2021,19792.5,rf
26,Pune Vidhyapeeth,20,4.620466510043766,2021,20300.0,rf
27,AundhGaon,13,1.0694773475540411,2021,22207.5,rf
28,Baner-Balewadi,82,13.303951293487495,2021,39965.0,rf
29,Sutarwadi,53,12.717127347406096,2021,29992.5,rf
30,Pashan,40,4.080779717535515,2021,30717.5,rf
31,Aundh I.T.I,18,2.539171918525782,2021,19006.25,rf
32,RajBhavan,34,5.168393419326625,2021,22078.75,rf
33,Chaturshingi Mandir,8,1.1419185308020572,2021,25172.5,rf
34,Model Colony,26,1.4646198047466117,2021,18615.0,rf
35,Morden Collage,17,1.395941986892558,2021,18336.25,rf
36,P.M.C Bhavan,38,1.1414179414388097,2021,15753.75,rf
37,Dr.Nayadu Hospital,2,1.3480075292749187,2021,19225.0,rf
38,Bundgarden,4,0.7804556356850427,2021,17620.0,rf
39,Wadiya Collage,25,1.2781866001536928,2021,18058.75,rf
40,Koregaon Park,19,2.8716448156206607,2021,18356.25,rf
41,Mundhvagaon,38,5.818015015263486,2021,23941.25,rf
42,Magarpatta Hadapsar,16,3.4947159571684066,2021,51165.0,rf
43,Hadapsar Indestrial Estate,13,2.406516142321506,2021,37166.25,rf
44,Sent Patric Town,7,1.1636347181869984,2021,34316.25,rf
45,Vikas Nagar Ghorpadi,22,2.1741127650138,2021,37528.75,rf
46,Dr.Babasaheb Ambedkar Udhyan,25,1.3472809821212115,2021,18420.0,rf
47,Sasoon Hospital,20,0.7065481379789972,2021,17740.0,rf
48,Kamla Nehru Hospital,5,0.2448279657218227,2021,20550.0,rf
49,Juna Bazar,3,0.2939814574703364,2021,23376.25,rf
50,Kasba Ganpati,7,0.2468392123304855,2021,19928.75,rf
51,Shanivarwada,12,0.3953099558314417,2021,17280.0,rf
52,New English School(Ramanbaug),22,0.4968417091453148,2021,15341.25,rf
53,Fergussion Collage,22,1.3925295863792206,2021,20150.0,rf
54,Dr.Homi Baba Hospital,2,0.2033194893328824,2021,20862.5,rf
55,Gokhlenagar,13,0.652530203031312,2021,18267.5,rf
56,Vidhi Mahavidhyalaya,29,2.358240557117262,2021,19035.0,rf
57,Shankarrao More Vidhyalaya,1,0.9560685273717664,2021,22580.0,rf
58,RamBaug Colony,17,1.062331287649967,2021,25305.0,rf
59,Kishkindhanagar,4,1.3521602624869051,2021,36386.25,rf
60,Ramkrishna Parmhance Nagar,12,1.996767417945225,2021,24177.5,rf
61,Ved Bhavan,50,8.719064722193261,2021,46886.25,rf
62,Mahatma Society -Kothrud,20,1.3645948083321595,2021,41306.25,rf
63,Wanaj Compani,10,0.3781422401129699,2021,23495.0,rf
64,Yashwantrao Chavan Natyagrha,13,0.5900851857480619,2021,25027.5,rf
65,Idiol Colony,22,0.8774911291760036,2021,16500.0,rf
66,Dinanath Mangeshkar Rugnalaya,11,1.212445720844982,2021,21358.75,rf
67,Deccon Jimkhana,11,1.2702216330584255,2021,16136.25,rf
68,RajendraNagar,18,0.7412252722569388,2021,15823.75,rf
69,Vishrambaugwada,7,0.3491990708408639,2021,15547.5,rf
70,Mahatama Phule Mandi,12,0.3165139074089365,2021,13440.0,rf
71,City Post,7,0.2720189619866472,2021,15926.25,rf
72,Ganeshpeth Gurudwara,12,0.2253846597283972,2021,18588.75,rf
73,Tilak Aaurved Mahavidhyalaya,5,0.2853745079772576,2021,19941.25,rf
74,Rajewadi,2,0.416122052207967,2021,19482.5,rf
75,Harkanagar,4,0.2798248291097064,2021,19090.0,rf
76,Jonral Arunkumar vaidya Stedium,2,0.2438026254044349,2021,21817.5,rf
77,Doke Talim,7,0.1886772020863502,2021,21587.5,rf
78,Swami Samarth Mandir Ganesh peth,3,0.2629814824548201,2021,18746.25,rf
79,Dr.Kotnis Davakhana,7,0.2168603912598866,2021,17133.75,rf
80,Renuka Swarup Prashala,7,0.3001494040456044,2021,17058.75,rf
81,S.P.Collage,23,0.9891660657658212,2021,16588.75,rf
82,Subhashnagar,7,0.4825083534930808,2021,17532.5,rf
83,Ghorpade Udhyan,4,0.2863058429935275,2021,15683.75,rf
84,Panch Houd Mission,1,0.1908509865996518,2021,22915.0,rf
85,Mahatma Phule Smark (Samata Bhumi),4,0.3712114543465353,2021,19610.0,rf
86,Lohianagar,0,0.1236945566820441,2021,23247.5,rf
87,Ekbote Colony,10,0.3595895646641352,2021,18295.0,rf
88,Gurunanak Nagar,2,0.2203724828429666,2021,23113.75,rf
89,Wawadi Gaon,8,2.0415128970956613,2021,29611.25,rf
90,Ramtekdi,0,2.4395280364667165,2021,25648.75,rf
91,Hadapsar Gaon,21,0.7952005835970511,2021,27958.75,rf
92,Glayding Center,15,1.5919119997327165,2021,25636.25,rf
93,Sadhana Vidhylaya,20,1.9980624344720292,2021,35797.5,rf
94,Satavwadi,2,0.6857926160187855,2021,27300.0,rf
95,Kaleborate Nagar,12,3.761004273916991,2021,56002.5,rf
96,Mahamodwadi,37,9.37297015279776,2021,55336.25,rf
97,Mahadji Shinde Chatri,13,2.459801149027496,2021,35613.75,rf
98,Salasbari Park,3,0.652153209520344,2021,22888.75,rf
99,Tilak Maharashtra Vidhyapeeth,19,0.7708325731486053,2021,23092.5,rf
